[2026-04-13 19:05:49] v2 시스템 시작 (DST (서머타임), scan=22:00, buy=22:35)
[2026-04-13 22:00:00] v2 신호 탐색 시작
[2026-04-13 22:00:00]   2026-04-10 이미 탐색됨
[2026-04-13 22:35:00] v2 매수 실행 시작
[2026-04-13 22:35:02]   SOXL 시가: $76.25 (1min, 2026-04-13)
[2026-04-13 22:35:02]   SOXS 시가: $23.91 (1min, 2026-04-13)
[2026-04-13 22:35:02]    $ SOXL 청산 (EXPIRED): +41.85% ($+1124.75)
[2026-04-13 22:35:02]    $ SOXL 청산 (EXPIRED): +59.31% ($+1419.25)
[2026-04-13 22:35:02]    $ SOXL 청산 (EXPIRED): +59.31% ($+1419.25)
[2026-04-13 22:35:02]    $ SOXL 청산 (EXPIRED): +59.31% ($+1419.25)
[2026-04-13 22:35:02]    $ SOXL 청산 (EXPIRED): +59.31% ($+1419.25)
[2026-04-13 22:35:02]    $ SOXL 청산 (EXPIRED): +59.31% ($+1419.25)
[2026-04-13 22:35:02]    $ SOXL 청산 (EXPIRED): +59.31% ($+1419.25)
[2026-04-13 22:35:02]    $ SOXL 청산 (EXPIRED): +59.31% ($+1419.25)
[2026-04-13 22:35:02]    V SOXL 매수: 50주 @ $76.25 ($3812.25) [점수:4.7]
[2026-04-13 22:35:02]    V SOXL 매수: 50주 @ $76.25 ($3812.25) [점수:4.3]
[2026-04-13 22:35:02]    V SOXL 매수: 50주 @ $76.25 ($3812.25) [점수:4.5]
[2026-04-13 22:35:02]    V SOXL 매수: 50주 @ $76.25 ($3812.25) [점수:4.2]
[2026-04-13 22:35:02]    V SOXL 매수: 50주 @ $76.25 ($3812.25) [점수:4.0]
[2026-04-13 22:35:02]    V SOXL 매수: 50주 @ $76.25 ($3812.25) [점수:4.0]
[2026-04-13 22:35:02]   LONG 매수 완료: 6건
[2026-04-13 23:05:53]   SOXL 시가: $75.59 (1min, 2026-04-13)
[2026-04-13 23:05:53]   SOXS 시가: $23.92 (1min, 2026-04-13)
