[2026-05-11 22:13:46] v2 시스템 시작 (DST (서머타임), scan=22:00, buy=22:35)
[2026-05-11 22:35:00] v2 매수 실행 시작
[2026-05-11 22:35:01]   SOXL 시가: $181.14 (1min, 2026-05-11)
[2026-05-11 22:35:02]   SOXS 시가: $8.65 (1min, 2026-05-11)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +137.58% ($+5244.75)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +137.58% ($+5244.75)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +137.58% ($+5244.75)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +137.58% ($+5244.75)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +137.58% ($+5244.75)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +137.58% ($+5244.75)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +173.09% ($+5740.50)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +173.09% ($+5740.50)
[2026-05-11 22:35:02]    $ SOXL 청산 (EXPIRED): +173.09% ($+5740.50)
[2026-05-11 23:13:47]   SOXL 시가: $181.00 (1min, 2026-05-11)
[2026-05-11 23:13:47]   SOXS 시가: $8.65 (1min, 2026-05-11)
