[2026-05-14 00:14:42]   ! SOXL 시가: $183.84 (info.open, 장중 폴백)
[2026-05-14 00:14:43]   ! SOXS 시가: $8.38 (info.open, 장중 폴백)
[2026-05-14 01:14:45]   ! SOXL 시가: $183.84 (info.open, 장중 폴백)
[2026-05-14 01:14:45]   ! SOXS 시가: $8.38 (info.open, 장중 폴백)
[2026-05-14 02:14:47]   ! SOXL 시가: $183.84 (info.open, 장중 폴백)
[2026-05-14 02:14:48]   ! SOXS 시가: $8.38 (info.open, 장중 폴백)
[2026-05-14 03:14:50]   ! SOXL 시가: $183.84 (info.open, 장중 폴백)
[2026-05-14 03:14:51]   ! SOXS 시가: $8.38 (info.open, 장중 폴백)
[2026-05-14 04:14:53]   ! SOXL 시가: $183.84 (info.open, 장중 폴백)
[2026-05-14 04:14:53]   ! SOXS 시가: $8.38 (info.open, 장중 폴백)
[2026-05-14 22:35:18] v2 시스템 시작 (DST (서머타임), scan=22:00, buy=22:35)
[2026-05-14 23:35:20]   SOXL 시가: $182.67 (1min, 2026-05-14)
[2026-05-14 23:35:20]   SOXS 시가: $8.60 (1min, 2026-05-14)
