[2026-06-15 10:09:41] v2 시스템 시작 (DST (서머타임), scan=22:00, buy=22:35)
[2026-06-15 22:00:00] v2 신호 탐색 시작
[2026-06-15 22:00:00]   LONG 신호 7개 (거부 0개)
[2026-06-15 22:35:00] v2 매수 실행 시작
[2026-06-15 22:35:02]   SOXL 시가: $266.57 (1min, 2026-06-15)
[2026-06-15 22:35:02]   SOXS 시가: $4.07 (1min, 2026-06-15)
[2026-06-15 22:35:02]    V SOXL 매수: 50주 @ $266.57 ($13328.41) [점수:5.8]
[2026-06-15 22:35:02]    V SOXL 매수: 50주 @ $266.57 ($13328.41) [점수:6.3]
[2026-06-15 22:35:02]    V SOXL 매수: 50주 @ $266.57 ($13328.41) [점수:5.5]
[2026-06-15 22:35:02]    V SOXL 매수: 50주 @ $266.57 ($13328.41) [점수:7.8]
[2026-06-15 22:35:02]    V SOXL 매수: 50주 @ $266.57 ($13328.41) [점수:6.2]
[2026-06-15 22:35:02]    V SOXL 매수: 50주 @ $266.57 ($13328.41) [점수:5.7]
[2026-06-15 22:35:02]    V SOXL 매수: 50주 @ $266.57 ($13328.41) [점수:6.2]
[2026-06-15 22:35:02]   LONG 매수 완료: 7건
[2026-06-15 23:09:48]   SOXL 시가: $265.99 (1min, 2026-06-15)
[2026-06-15 23:09:49]   SOXS 시가: $4.07 (1min, 2026-06-15)
