[2026-07-13 22:00:00] v2 신호 탐색 시작
[2026-07-13 22:00:00]   2026-07-10 이미 탐색됨
[2026-07-13 22:35:00] v2 매수 실행 시작
[2026-07-13 22:35:03]   SOXL 시가: $174.85 (1min, 2026-07-13)
[2026-07-13 22:35:03]   SOXS 시가: $4.43 (1min, 2026-07-13)
[2026-07-13 22:35:03]    V SOXL 매수: 50주 @ $174.85 ($8742.42) [점수:5.2]
[2026-07-13 22:35:03]    V SOXL 매수: 50주 @ $174.85 ($8742.42) [점수:5.7]
[2026-07-13 22:35:03]    V SOXL 매수: 50주 @ $174.85 ($8742.42) [점수:5.2]
[2026-07-13 22:35:03]    V SOXL 매수: 50주 @ $174.85 ($8742.42) [점수:5.0]
[2026-07-13 22:35:03]    V SOXL 매수: 50주 @ $174.85 ($8742.42) [점수:6.0]
[2026-07-13 22:35:03]    V SOXL 매수: 50주 @ $174.85 ($8742.42) [점수:4.2]
[2026-07-13 22:35:03]    V SOXL 매수: 50주 @ $174.85 ($8742.42) [점수:4.2]
[2026-07-13 22:35:03]    V SOXL 매수: 50주 @ $174.85 ($8742.42) [점수:4.3]
[2026-07-13 22:35:03]   LONG 매수 완료: 8건
[2026-07-13 22:53:43]   SOXL 시가: $174.61 (1min, 2026-07-13)
[2026-07-13 22:53:43]   SOXS 시가: $4.43 (1min, 2026-07-13)
[2026-07-13 23:53:45]   SOXL 시가: $174.61 (1min, 2026-07-13)
[2026-07-13 23:53:45]   SOXS 시가: $4.43 (1min, 2026-07-13)
